,body,character,glider,tire,Speed Ground,Speed Water,Speed Air,Speed Anti-Gravity,Acceleration,Weight,Handling Ground,Handling Water,Handling Air,Handling Anti-Gravity,Traction,MiniTurbo,Invincibility
0,1,1,1,1,2.5,2.75,3.0,2.25,4.0,2.0,5.0,4.5,5.0,5.0,4.25,4.5,4.0
1,1,1,1,2,2.5,2.75,3.0,2.25,4.0,2.0,5.0,4.5,5.0,5.0,4.25,4.5,4.25
2,1,1,1,3,2.5,2.5,2.5,2.25,3.5,2.5,4.25,4.0,4.5,4.25,4.75,4.25,4.5
3,1,1,1,4,2.5,2.5,2.5,2.25,3.5,2.5,4.25,4.0,4.5,4.25,4.75,4.25,4.25
4,1,1,1,5,2.0,2.75,3.0,1.75,4.5,1.5,5.25,4.75,5.25,5.25,4.0,5.0,3.25
5,1,1,1,6,2.75,2.5,2.75,2.75,3.5,2.0,5.25,4.75,5.25,5.0,3.25,4.25,4.25
6,1,1,1,7,3.0,2.0,2.25,2.75,3.25,2.25,4.75,3.75,4.5,4.75,3.0,3.75,4.25
7,1,1,1,8,3.0,2.75,2.75,2.0,3.0,2.5,4.75,4.25,4.25,4.5,3.5,3.75,4.5
8,1,1,1,9,3.0,2.75,2.75,2.0,3.0,2.5,4.75,4.25,4.25,4.5,3.5,3.75,4.25
9,1,1,1,10,2.25,2.5,2.75,2.25,4.25,1.5,5.0,4.5,4.75,5.25,3.75,4.75,3.75
10,1,1,1,11,2.75,3.0,2.5,2.25,3.75,2.25,4.5,4.0,4.75,4.75,4.5,4.0,4.75
11,1,1,1,12,2.75,3.0,2.5,2.25,3.75,2.25,4.5,4.0,4.75,4.75,4.5,4.0,4.5
12,1,1,1,13,2.25,2.25,3.25,2.0,4.0,1.75,4.75,4.0,5.0,4.75,4.5,4.75,4.0
13,1,1,1,14,2.25,2.25,3.25,2.0,4.0,1.75,4.75,4.0,5.0,4.75,4.5,4.75,4.5
14,1,1,2,1,2.25,2.75,2.75,2.5,4.25,1.75,5.0,4.5,5.25,5.0,4.25,4.75,3.75
15,1,1,2,2,2.25,2.75,2.75,2.5,4.25,1.75,5.0,4.5,5.25,5.0,4.25,4.75,4.0
16,1,1,2,3,2.25,2.5,2.25,2.5,3.75,2.25,4.25,4.0,4.75,4.25,4.75,4.5,4.25
17,1,1,2,4,2.25,2.5,2.25,2.5,3.75,2.25,4.25,4.0,4.75,4.25,4.75,4.5,4.0
18,1,1,2,5,1.75,2.75,2.75,2.0,4.75,1.25,5.25,4.75,5.5,5.25,4.0,5.25,3.0
19,1,1,2,6,2.5,2.5,2.5,3.0,3.75,1.75,5.25,4.75,5.5,5.0,3.25,4.5,4.0
20,1,1,2,7,2.75,2.0,2.0,3.0,3.5,2.0,4.75,3.75,4.75,4.75,3.0,4.0,4.0
21,1,1,2,8,2.75,2.75,2.5,2.25,3.25,2.25,4.75,4.25,4.5,4.5,3.5,4.0,4.25
22,1,1,2,9,2.75,2.75,2.5,2.25,3.25,2.25,4.75,4.25,4.5,4.5,3.5,4.0,4.0
23,1,1,2,10,2.0,2.5,2.5,2.5,4.5,1.25,5.0,4.5,5.0,5.25,3.75,5.0,3.5
24,1,1,2,11,2.5,3.0,2.25,2.5,4.0,2.0,4.5,4.0,5.0,4.75,4.5,4.25,4.5
25,1,1,2,12,2.5,3.0,2.25,2.5,4.0,2.0,4.5,4.0,5.0,4.75,4.5,4.25,4.25
26,1,1,2,13,2.0,2.25,3.0,2.25,4.25,1.5,4.75,4.0,5.25,4.75,4.5,5.0,3.75
